full,nickname
Philadelphia 76ers,76ers
Oklahoma City Thunder,thunder
Milwaukee Bucks,bucks
Brooklyn Nets,nets
Memphis Grizzlies,grizzlies
Miami Heat,heat
Atlanta Hawks,hawks
Cleveland Cavaliers,cavaliers
New Orleans Pelicans,pelicans
Minnesota Timberwolves,timberwolves
Utah Jazz,jazz
Denver Nuggets,nuggets
Dallas Mavericks,mavericks
Chicago Bulls,bulls
Los Angeles Lakers,lakers
Charlotte Hornets,hornets
New York Knicks,knicks
Sacramento Kings,kings
Boston Celtics,celtics
Indiana Pacers,pacers
Golden State Warriors,warriors
Toronto Raptors,raptors
Orlando Magic,magic
Detroit Pistons,pistons
Phoenix Suns,suns
San Antonio Spurs,spurs
Houston Rockets,rockets
Washington Wizards,wizards
Los Angeles Clippers,clippers
Portland Trail Blazers,trail-blazers
